NFC ;Serial;Helmet;Customer Name;date of manufacture;state
http://www.veldt.xyz/check?serial=HAA141O;HAA141O;;;;
http://www.veldt.xyz/check?serial=EAA142Z;EAA142Z;;;;
http://www.veldt.xyz/check?serial=VAA143X;VAA143X;;;;
http://www.veldt.xyz/check?serial=AAA144Q;AAA144Q;;;;
http://www.veldt.xyz/check?serial=PAA145O;PAA145O;;;;
http://www.veldt.xyz/check?serial=JAA146M;JAA146M;;;;
http://www.veldt.xyz/check?serial=AAA147G;AAA147G;;;;
http://www.veldt.xyz/check?serial=EAA148D;EAA148D;;;;
http://www.veldt.xyz/check?serial=UAA149Z;UAA149Z;;;;
http://www.veldt.xyz/check?serial=LAA150W;LAA150W;;;;
http://www.veldt.xyz/check?serial=YAA151X;YAA151X;;;;
http://www.veldt.xyz/check?serial=BAA152H;BAA152H;;;;
http://www.veldt.xyz/check?serial=HAA153K;HAA153K;;;;
http://www.veldt.xyz/check?serial=XAA154A;XAA154A;;;;
http://www.veldt.xyz/check?serial=WAA155M;WAA155M;;;;
http://www.veldt.xyz/check?serial=LAA156H;LAA156H;;;;
http://www.veldt.xyz/check?serial=DAA157K;DAA157K;;;;
http://www.veldt.xyz/check?serial=LAA158A;LAA158A;;;;
http://www.veldt.xyz/check?serial=QAA159O;QAA159O;;;;
http://www.veldt.xyz/check?serial=YAA160P;YAA160P;;;;
http://www.veldt.xyz/check?serial=GAA161C;GAA161C;;;;
http://www.veldt.xyz/check?serial=FAA162C;FAA162C;;;;
http://www.veldt.xyz/check?serial=KAA163D;KAA163D;;;;
http://www.veldt.xyz/check?serial=SAA164O;SAA164O;;;;
http://www.veldt.xyz/check?serial=GAA165A;GAA165A;;;;
http://www.veldt.xyz/check?serial=RAA166N;RAA166N;;;;
http://www.veldt.xyz/check?serial=IAA167N;IAA167N;;;;
http://www.veldt.xyz/check?serial=PAA168F;PAA168F;;;;
http://www.veldt.xyz/check?serial=OAA169Z;OAA169Z;;;;
http://www.veldt.xyz/check?serial=SAA170K;SAA170K;;;;
http://www.veldt.xyz/check?serial=MAA171P;MAA171P;;;;
http://www.veldt.xyz/check?serial=CAA172Q;CAA172Q;;;;
http://www.veldt.xyz/check?serial=VAA173P;VAA173P;;;;
http://www.veldt.xyz/check?serial=SAA174Z;SAA174Z;;;;
http://www.veldt.xyz/check?serial=TAA175F;TAA175F;;;;
http://www.veldt.xyz/check?serial=KAA176S;KAA176S;;;;
http://www.veldt.xyz/check?serial=WAA177W;WAA177W;;;;
http://www.veldt.xyz/check?serial=XAA178J;XAA178J;;;;
http://www.veldt.xyz/check?serial=AAA179F;AAA179F;;;;
